analdate,area,d1,d2,d3,d4,doname,maxi,meanavg,mini,regioncode,std_list
2023-05-23 14,,0,0,100,0,서울특별시,85,73,62,11,4
2023-05-23 18,,61,31,9,0,서울특별시,79,48,29,11,5
2023-05-23 21,,96,4,0,0,서울특별시,67,34,11,11,5
2023-05-24 00,,100,0,0,0,서울특별시,49,25,8,11,5
2023-05-24 03,,100,0,0,0,서울특별시,43,22,8,11,4
2023-05-24 06,,100,0,0,0,서울특별시,37,20,8,11,4
2023-05-24 09,,87,13,0,0,서울특별시,67,38,20,11,4
2023-05-24 12,,58,20,23,0,서울특별시,85,52,29,11,5
2023-05-24 15,,0,12,88,0,서울특별시,85,71,57,11,4
2023-05-24 18,,0,37,62,0,서울특별시,85,68,51,11,4
2023-05-24 21,,61,35,4,0,서울특별시,79,46,17,11,6
2023-05-25 00,,91,9,0,0,서울특별시,61,37,11,11,5
2023-05-25 03,,99,1,0,0,서울특별시,55,29,11,11,5
2023-05-25 06,,100,0,0,0,서울특별시,43,23,11,11,4
2023-05-25 09,,8,76,15,0,서울특별시,79,59,45,11,4
2023-05-25 12,,0,7,93,0,서울특별시,85,72,59,11,4
2023-05-25 15,,0,6,94,0,서울특별시,85,72,59,11,4
2023-05-25 18,,0,34,66,0,서울특별시,85,69,53,11,4
2023-05-25 21,,51,45,4,0,서울특별시,73,49,17,11,5
2023-05-26 00,,76,23,1,0,서울특별시,67,42,17,11,6
2023-05-23 14,,38,63,0,0,부산광역시,79,57,8,26,6
2023-05-23 18,,35,57,8,0,부산광역시,73,53,30,26,6
2023-05-23 21,,100,0,0,0,부산광역시,49,30,15,26,5
2023-05-24 00,,100,0,0,0,부산광역시,37,23,11,26,5
2023-05-24 03,,100,0,0,0,부산광역시,37,21,11,26,5
2023-05-24 06,,100,0,0,0,부산광역시,37,21,11,26,5
2023-05-24 09,,59,40,0,0,부산광역시,67,48,27,26,5
2023-05-24 12,,11,65,24,0,부산광역시,79,59,33,26,6
2023-05-24 15,,25,62,12,0,부산광역시,73,56,27,26,6
2023-05-24 18,,70,30,0,0,부산광역시,67,46,21,26,6
2023-05-24 21,,100,0,0,0,부산광역시,43,28,11,26,5
2023-05-25 00,,100,0,0,0,부산광역시,37,24,11,26,5
2023-05-25 03,,100,0,0,0,부산광역시,37,21,11,26,5
2023-05-25 06,,100,0,0,0,부산광역시,37,21,11,26,5
2023-05-25 09,,80,20,0,0,부산광역시,67,44,21,26,5
2023-05-25 12,,17,59,24,0,부산광역시,79,59,31,26,6
2023-05-25 15,,12,46,42,0,부산광역시,85,63,33,26,6
2023-05-25 18,,35,56,9,0,부산광역시,79,53,26,26,6
2023-05-25 21,,100,0,0,0,부산광역시,49,29,15,26,5
2023-05-26 00,,100,0,0,0,부산광역시,43,25,11,26,5
